sample_accession	text	tag
SAMEA11120141	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMN07137031 HOTS SAMN07137031 BIN 00000014 marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA112789046	DTOL 6ca39436 e10e 45c5 915d 5d0be950e22c dtol 6ca39436 e10e 45c5 915d 5d0be950e22c dtol Facelina auriculata   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA11147273	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMEA2619548 TARA SAMEA2619548 METAG IAHJKKJF marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN16656051	 Metagenome or environmental sample from marine metagenome Metagenome or environmental sample from marine metagenome marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN43988774	 Plant sample from Zostera marina Plant sample from Zostera marina Zostera marina   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN51267312	 Sorted cell/s from seawater in Southern California Bight, CA, United States Sorted cell/s from seawater in Southern California Bight, CA, United States   Uncultured microbe JGI Larkin.AM 433 O15 seawater metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN05325202	 Metagenome or environmental sample from marine metagenome Metagenome or environmental sample from marine metagenome marine metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine;datahub
SAMN42315987	 Keywords: GSC:MIxS MIMARKS:6.0 2022 april eDNA ILVO 780 seawater metagenome marine offshore seawater	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN26724732	 Keywords: GSC:MIxS MIMARKS:5.0 MIMARKS Survey related sample from seawater metagenome seawater metagenome Marine Open ocean Seawater	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN51198437	 Keywords: GSC:MIxS MIGS:6.0 The draft genome of Shimia marina QD57 56 Shimia marina marine biome [ENVO:00000447] offshore seawater	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN09240222	 Microbe sample from Nitrosopumilus sp. Microbe sample from Nitrosopumilus sp. Candidatus Nitrosopumilus sp.   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA6043467	Tara Pacific Expedition (2016 2018) TARA SAMPLE 20180820T1444Z OA226 I00 S00 C000 O SRF MICROB IMG L20 R01 G100013484 TARA SAMPLE 20180820T1444Z OA226 I00 S00 C000 O SRF MICROB IMG L20 R01 G100013484 marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN20928927	 Keywords: GSC:MIxS MIMARKS:5.0 MIMARKS Survey related sample from marine sediment metagenome marine sediment metagenome marine sediment [ENVO 03000033] hydrothermally influenced sediment [ENVO 01001821] marine sediment [ENVO 03000033]	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN02863605	 Keywords: GSC:MIxS MIMS:5.0 MIMS Environmental/Metagenome sample from marine sediment metagenome marine sediment metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA120373604	B5D   estuary metagenome marine biome (ENVO:00000447) estuarine biome (01000020) estuarine water (ENVO:01000301) costal water body (ENVO:02000049) water	env_tax:marine;env_geo;env_tax:brackish;env_tax;env_geo:marine;datahub:TREC;datahub
SAMN16220079	 Keywords: GSC:MIxS MIMARKS:6.0 MIMARKS Survey related sample from marine metagenome marine metagenome animal associated habitat(ENVO:00006776) marine benthic biome(ENVO:01000024) organic feature(ENVO:01000159) organic material(ENVO:01000155)	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN16287946	 Metagenome or environmental sample from coral metagenome Metagenome or environmental sample from coral metagenome coral metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMD00545016	 16S rRNA gene sequence 2018 5 9 UM aquaculture sediment marine sediment metagenome average AVS S = 1.16 mg S/g dry mud coastal area sediment	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA13314514	ERGA 4277ea8a 3706 481a 939f ee6886bf83e8 erga 4277ea8a 3706 481a 939f ee6886bf83e8 erga Buccinum undatum   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA112492057	Traversing European Coastlines (TREC) expedition This marine metagenome sample was collected during the Traversing European Coastlines (TREC) expedition on date/time 2023 08 02T06:11:00Z, at location 58.36180 N 11.58850 E, elevation (m)=0 and depth (m)=0 3, using protocol VV<3 BIS with sample pid SAMEA112492057  marine metagenome marine biome [ENVO:00000447] surface water [ENVO:00002042] seawater [ENVO:01001964]	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA116043738	MICROBE   marine metagenome aquatic biome ocean biome coastal sea water	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA11184056	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMEA4397722 TARA SAMEA4397722 METAG EDEDNEJO marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN33583240	 Keywords: GSC:MIxS MIMARKS:6.0 MIMARKS Survey related sample from seawater metagenome seawater metagenome Coral reef Seawater Symbiodiniaceae	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN23296844	 Metagenome or environmental sample from macroalgae metagenome Metagenome or environmental sample from macroalgae metagenome macroalgae metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax:freshwater;env_tax:brackish;env_tax;env_geo:marine
SAMEA2731641	Tara Oceans expedition (2009 2013) This sample (TARA N000002139) was collected during the Tara Oceans expedition (2009 2013) at station TARA 149 (latitudeN=34.0639, longitudeE= 49.844) on date/time=2012 03 01T14:22, using a PLANKTON NET, TYPE=Double, MESH Size (�m)=20, MOUTH Opening (m^2)=0.192442, LENGTH (m)=2.5. The sample material (particulate matter, including plankton (ENVO:xxxxxxxx)) was collected at a depth of 3 7 m, targeting a surface water layer (ENVO:00002042) in the marine biome (ENVO:00000447). The sample was size fractionated (20 180 micrometres), and stored in liquid nitrogen for later detection of unicellular eukaryote (protist) nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis. This sample has replicate sample(s): TARA N000002140. TARA 20120301T1422Z 149 EVENT NET N1+N2 S (5 m) PROT NUC DNA(1L) N20 180 TARA N000002139 marine metagenome marine biome (ENVO:00000447) surface water layer (ENVO:00002042) particulate matter, including plankton (ENVO:xxxxxxxx)	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN05203304	 DNA was extracted and 16S rRNA gene amplified from airbrushed coral tissue (mucus, tissue, residual skeleton) RF15PporPellet coral metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN53880600	 Metagenome or environmental sample from seawater metagenome Metagenome or environmental sample from seawater metagenome seawater metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN12252085	 Invertebrate sample from Systellaspis debilis Invertebrate sample from Systellaspis debilis Systellaspis debilis   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA11147368	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMEA2622678 TARA SAMEA2622678 BIN 00000012 marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA110363370	 50.hg 13414.50.hg fish metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax:freshwater;env_tax:brackish;env_tax;env_geo:marine
SAMN28080959	  2 = biological replicate 2 water aquatic metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax:freshwater;env_tax:brackish;env_tax;env_geo:marine
SAMEA117396983	Antarctic Circumnavigation Expedition (ACE)   marine metagenome ocean biome (ENVO:01000048) surface water (ENVO:0000204) sea water (ENVO:00002149)	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN09424938	 Off.Nome.S1.1.1.3 Off.Nome.S1.1.1.3 seawater metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA117735184	holobiontalgue Bacterial microbiota 16S Bacterial microbiota 16S seawater metagenome ocean water infralittoral pool water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA112494042	Traversing European Coastlines (TREC) expedition This marine metagenome sample was collected during the Traversing European Coastlines (TREC) expedition on date/time 2023 11 05T15:11:00Z, at location 37.13410 N 7.39630 W and depth (m)=0, using protocol S200 S with sample pid SAMEA112494042  marine metagenome marine biome [ENVO:00000447] surface water [ENVO:00002042] seawater [ENVO:01001964]	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA112549701	Traversing European Coastlines (TREC) expedition This marine metagenome sample was collected during the Traversing European Coastlines (TREC) expedition on date/time 2023 04 07T07:02:00Z, at location 48.67145 N 3.95313 W, elevation (m)=0 and depth (m)=0, using protocol PM with sample pid SAMEA112549701  marine metagenome shore [ENVO:00000304] shoreline transect seawater [ENVO:01001964]	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN10686985	 Represents 63 stations at station C1, taken at 0m M2W MBNMS 12S marine metagenome marine biome coastal water(ENVO:00002150) Particulates >= 0.2 um(ENVO:01000436)	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN11268144	 10 cm depth Metagenome or environmental sample from marine sediment metagenome marine sediment metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN29047318	 Metagenome or environmental sample from marine metagenome Metagenome or environmental sample from marine metagenome marine metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN10768654	 KTD3 IC 27pump 122 KTD3 IC 27pump 122 aquatic metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax:freshwater;env_tax:brackish;env_tax;env_geo:marine
SAMEA111562341	DTOL 6915f8ff 9d10 4c9a a550 4d0806671e84 dtol 6915f8ff 9d10 4c9a a550 4d0806671e84 dtol Loligo vulgaris   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA120122700	SedMix core supernatant post mixing mixing event 1 Core 1 fraction 5 55um B19 seawater metagenome coastal sea water [ENVO:00002150] bay [ENVO:00000032] sea water environment [ENVO:01000321]	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN08606322	 Hl Tend6 186 Hl Tend6 186 marine metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN45523340	 Keywords: GSC:MIxS MIMARKS:6.0 MIMARKS Survey related sample from marine plankton metagenome marine plankton metagenome marine biome [ENVO:00000447] marine layer [ENVO:01000295] sea water [ENVO:00002149]	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA115970318	Holomicro sam Hl173 for S382 sam Hl173 for S382 Holothuria leucospilota coral reef marine coral reef back reef soil	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN09632552	 Metagenome or environmental sample from seawater metagenome Metagenome or environmental sample from seawater metagenome seawater metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:freshwater;env_geo:marine
SAMN15083767	 Metagenome or environmental sample from seawater metagenome Metagenome or environmental sample from seawater metagenome seawater metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN08707940	 C.4 TF253 PA 6 Epi Metagenome or environmental sample from marine metagenome marine metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN50494718	 16S rRNA amplicon sample from North Pacific seawater Metagenome or environmental sample from seawater metagenome seawater metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMD00823518	 COI1 SNPs of tomopterid species KH1438Tom135 Tomopteris sp.   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA4036112	 F heteroclitus P5 gill A 1 10308.Fh.P5.G.A.1 fish metagenome estuarine biome animal associated habitat mucus	env_tax:marine;env_geo;env_geo:coastal;env_tax:freshwater;env_tax:brackish;env_tax;env_geo:marine
SAMN04028303	 Keywords: GSC:MIxS MIMARKS:5.0 MIMARKS Survey related sample from marine metagenome marine metagenome marine pelagic biome sea water sea water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA115419933	Seawater was filtered from different depths to retain small cell sizes (Bacteria Organisms). The DNA was extracted and submitted to high throughput sequencing. This sample represents a Third Party Annotation (TPA) Metagenome assembled genome assembled from the metagenomic run ERR599160 of study ERP001736. Metagenome assembled genome: ERR599160 concoct 125 uncultured Desulfovibrio sp. water ocean tara	env_tax:marine;env_geo;env_tax:freshwater;env_tax:terrestrial;env_tax:brackish;env_tax;env_geo:marine
SAMEA12815467	VGP 000007 19017 tol 19017 tol Stomias gracilis   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA11111220	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMEA2622766 TARA SAMEA2622766 BIN 00000094 marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA7952299	 This marine metagenome sample was collected during campaign Flagship MMA Topical Study Amazon River Plume Sigrid Neumann Leitao on date/time 2021 09 03T14:54:00Z, at location 5.3970 N 51.368 W and depth (m)=0/60, using protocol E2000 with sample pid SAMEA7952299 This marine metagenome sample was collected during campaign Flagship MMA Topical Study Amazon River Plume Sigrid Neumann Leitao on date/time 2021 09 03T14:54:00Z, at location 5.3970 N 51.368 W and depth (m)=0/60, using protocol E2000 with sample pid SAMEA7952299 marine metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN16953797	 eDNA metabarcoding sample T2.C marine metagenome kelp forest biome [ENVO:01000058]|rocky reef biome [ENVO:00000130]|marine biome[ENVO:00000447] marine sub littoral zone [ENVO:01000126] sea water[ENVO:00002149]|coastal sea water[ENVO:00002150]|	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN14356075	 'surface' '' MIMARKS Survey related sample from marine metagenome marine metagenome marine benthic biomeestuarine biome [ENVO:01000024] intertidal zone[ENVO:00000136] alga [ENVO:02500019]	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN17205734	 Keywords: GSC:MIxS MIMS:5.0 MIMS Environmental/Metagenome sample from marine metagenome marine metagenome ocean offshore offshore sea water	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA11110752	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMEA2621300 TARA SAMEA2621300 METAG LDKIKIFE marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN07483104	 Metagenome or environmental sample from marine metagenome Metagenome or environmental sample from marine metagenome marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine;datahub
SAMN17842929	 Metagenome or environmental sample from sponge metagenome Metagenome or environmental sample from sponge metagenome sponge metagenome   	env_tax:marine;env_geo;env_tax:freshwater;env_tax:brackish;env_tax;env_geo:marine
SAMN30213473	 Homarus americanus Homarus americanus Homarus americanus Coastal areas  	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN36679984	 Metagenome or environmental sample from marine plankton metagenome Metagenome or environmental sample from marine plankton metagenome marine plankton metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA116135652	 sea urchin gonad sample for Diadematidae scuticociliatosis sea urchin microbiome 14698.111 sea urchin metagenome marine biome animal associated habitat organic material	env_tax:marine;env_geo;env_tax:brackish;env_tax;env_geo:marine
SAMN13828841	 Microbe sample from Streptococcus dysgalactiae Microbe sample from Streptococcus dysgalactiae Streptococcus dysgalactiae   	pathogen:bacterium;env_tax:marine;env_geo;pathogen;env_geo:coastal;env_tax:terrestrial;env_tax;env_geo:marine
SAMEA115762288	 This marine metagenome sample was collected during campaign CPR Brazil South Africa line on date/time 2021 10 29T21:44:30Z, at location 35.7462 S 3.3659 E and depth (m)=45570, using protocol CPR with sample alias not collected This marine metagenome sample was collected during campaign CPR Brazil South Africa line on date/time 2021 10 29T21:44:30Z, at location 35.7462 S 3.3659 E and depth (m)=45570, using protocol CPR with sample alias not collected marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN41596577	 Metagenome or environmental sample from marine metagenome Metagenome or environmental sample from marine metagenome marine metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA11183685	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMEA4398296 TARA SAMEA4398296 BIN 00000146 marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA11138019	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMEA4398219 TARA SAMEA4398219 BIN 00000048 marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMD01688188	 6 S2306 Hakata bay S61~72 18S 6 S2306 Hakata bay S61~72 18S s7 marine sediment metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN03348009	 coral microcolony colony 64 in 400 control at 5h Acropora hyacinthus backreef lagoon  	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA13505857	Metagenome sequencing of Hadza gut microbiome This sample represents an uncultured Methanobrevibacter sp. MAG assembled and binned from ERR7738531. ERR7738531 bin.283 uncultured Methanobrevibacter sp. terrestrial biome human associated habitat feces	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA11177107	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMN07136934 BGEO SAMN07136934 BIN 00000006 marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN39399364	 Invertebrate sample from Pandalus borealis Invertebrate sample from Pandalus borealis Pandalus borealis   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA112539061	Traversing European Coastlines (TREC) expedition This marine metagenome sample was collected during the Traversing European Coastlines (TREC) expedition on date/time 2024 05 22T04:53:00Z, at location 41.37200 N 16.33710 E and depth (m)=0, using protocol HC G with sample pid SAMEA112539061  marine metagenome marine biome [ENVO:00000447] surface water [ENVO:00002042] seawater [ENVO:01001964]	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA8667765	MIME 2016 05 27 LN1 457 185m Icelandic seawater marine metagenome ENVO:00000447 ENVO:00002149 ENVO:00002010	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA3355524	Columbia River coastal margin 'omics Metagenome of Columbia River estuary, salinty 5 Metagenome of Columbia River estuary, salinty 5 marine metagenome estuary estuary water	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN32107496	 GSH09a (cluster blue) Invertebrate sample from Pocillopora cf. meandrina NO 2022 Pocillopora cf. meandrina NO 2022   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN17377536	 Keywords: GSC:MIxS MIMS:6.0 sediment layer 7 9 cm marine sediment metagenome Sediment Sediment Sediment	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN32168862	 18S rRNA amplicon sequence data from the Northeast Shelf LTER Raw sequence reads 18S rRNA amplicon sequence data from the Northeast Shelf LTER Raw sequence reads seawater metagenome marine aquatic Northeast Shelf seawater sample	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA112557041	Traversing European Coastlines (TREC) expedition This marine metagenome sample was collected during the Traversing European Coastlines (TREC) expedition on date/time 2023 09 20T11:54:00Z, at location 48.30000 N 4.38700 W, elevation (m)=0 and depth (m)=0 3, using protocol HLB with sample pid SAMEA112557041  marine metagenome marine biome [ENVO:00000447] surface water [ENVO:00002042] seawater [ENVO:01001964]	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN41832559	 Keywords: GSC:MIxS MIMARKS:6.0 MIMARKS Survey related sample from coral metagenome coral metagenome marine coral coral mucus and tissue	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN06849098	 Keywords: GSC:MIxS MIMS:5.0 MIMS Environmental/Metagenome sample from marine sediment metagenome marine sediment metagenome sediment sea sediment	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN41139969	 Pathogen: clinical or host associated sample from Streptococcus pneumoniae Pathogen: clinical or host associated sample from Streptococcus pneumoniae Streptococcus pneumoniae   	pathogen:bacterium;env_tax:marine;env_geo;pathogen;env_geo:coastal;env_tax:terrestrial;env_tax;env_geo:marine
SAMEA6028265	Tara Pacific Expedition (2016 2018) TARA SAMPLE 20171023T0355Z OA000 I22 S02 H015 C SEABED HYDROZOA IMG PHOTO R01 HY 3000014 TARA SAMPLE 20171023T0355Z OA000 I22 S02 H015 C SEABED HYDROZOA IMG PHOTO R01 HY 3000014 marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA110702140	PRJEB55296 marine/brackish water plankton sample, sequenced with 16S and 18S rRNA metabarcoding 20190406 263730 1 marine plankton metagenome marine pelagic biome (ENVO:01000023) neritic epipelagic zome biome (ENVO:01000042) brackish water (ENVO:00002019)	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN11936243	 Coral associated Bacteria Coral associated Bacteria coral metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN13830526	 Environmental 16S Amplicon: DE DNA Fall 0.8 Morning Metagenome or environmental sample from marine metagenome marine metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA115763178	 This marine metagenome sample was collected during campaign CPR Brazil South Africa line on date/time 2022 07 15T14:48:30Z, at location 35.3937 S 2.5885 W and depth (m)=45570, using protocol CPR with sample alias not collected This marine metagenome sample was collected during campaign CPR Brazil South Africa line on date/time 2022 07 15T14:48:30Z, at location 35.3937 S 2.5885 W and depth (m)=45570, using protocol CPR with sample alias not collected marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA112537531	Traversing European Coastlines (TREC) expedition This marine metagenome sample was collected during the Traversing European Coastlines (TREC) expedition on date/time 2024 07 26T03:34:00Z, at location 40.95590 N 25.10340 E and depth (m)=0, using protocol NAT with sample pid SAMEA112537531  marine metagenome marine biome [ENVO:00000447] surface water [ENVO:00002042] seawater [ENVO:01001964]	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA11145592	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMEA4397295 TARA SAMEA4397295 METAG HLBOLIAE marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN27034603	 Invertebrate sample from Muricea pendula Invertebrate sample from Muricea pendula Muricea pendula   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN43361699	 HJ42 1445 in situ Metagenome or environmental sample from coral reef metagenome coral reef metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN04156407	 Metagenome or environmental sample from marine metagenome Metagenome or environmental sample from marine metagenome marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN05374903	 Partial nifH sequences from NPSG 75m S27 Partial nifH sequences from NPSG 75m S27 marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA11167879	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMEA2623059 TARA SAMEA2623059 METAG IHIENFNH marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN27760859	 GSH01 Invertebrate sample from Pocillopora effusa Pocillopora effusa   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN42420180	 Metagenome or environmental sample from marine sediment metagenome Metagenome or environmental sample from marine sediment metagenome marine sediment metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMD00696886	 Keywords: GSC:MIxS MIMAG:6.0 SRR12604679 bin 23 of hot environment Thermococcus sp. Hydrothermal vents missing Hydrothermal vents	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN06281949	 Arctic SCM PSW community 2012 SCM PSW Canada Basin Eukaryotic Microbial Communities DNA large seawater metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine;datahub
SAMN04485543	 Metagenome or environmental sample from algae metagenome Metagenome or environmental sample from algae metagenome algae metagenome   	env_tax:marine;env_geo;env_tax:freshwater;env_tax:brackish;env_tax;env_geo:marine
SAMEA117493283	Aquaculture sites monitoring FHF19 St3 Gr2 B FHF19 32B marine sediment metagenome saline sediment environment ocean biome sediment	env_tax:marine;env_geo;env_tax;env_geo:marine;datahub:TREC;datahub:BIOcean5D;datahub
SAMEA115970606	Holomicro sam Sc101 for S302 sam Sc101 for S302 Stichopus chloronotus coral reef marine coral reef back reef soil	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA104376102	 Corla virome and metagenome of Porites lutea   meteagenomic (phenol) Corla virome and metagenome of Porites lutea   meteagenomic (phenol) Porites lutea   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN07339455	 Deep Chlorophyll Max of Eastern North Pacific Ocean Deep Chlorophyll Max of Eastern North Pacific Ocean marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN41110579	   seawater metagenome coral reef reef flat seawater at benthic boundary layer	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN50928677	 Keywords: GSC:MIxS MIMARKS:6.0 MIMARKS Survey related sample from seagrass metagenome seagrass metagenome sea grass bed ENVO:01000059 shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316] biofilm on a plant surface [ENVO 01001032]	env_tax:marine;env_geo;env_tax;env_geo:freshwater;env_geo:marine
